ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
4355.0,8.0,5297.0,1124.0,46.0,,331.0,617.0
4255.0,5.0,5201.0,1139.0,70.0,,341.0,642.0
4444.0,7.0,5047.0,1038.0,64.0,1.0,305.0,652.0
4826.0,10.0,5659.0,1123.0,64.0,1.0,381.0,737.0
4662.0,13.0,5250.0,1110.0,82.0,1.0,333.0,595.0
4522.0,10.0,5434.0,1248.0,74.0,1.0,313.0,702.0
4362.0,5.0,5266.0,1137.0,64.0,,348.0,674.0
4747.0,9.0,5144.0,1253.0,68.0,6.0,341.0,594.0
4131.0,9.0,4547.0,1052.0,61.0,1.0,290.0,528.0
4037.0,8.0,4547.0,1076.0,61.0,2.0,303.0,564.0
3910.0,10.0,3943.0,1156.0,69.0,1.0,309.0,508.0
4152.0,8.0,4489.0,1132.0,83.0,,317.0,617.0
4121.0,7.0,4541.0,1029.0,83.0,1.0,274.0,547.0
4132.0,6.0,4224.0,1079.0,90.0,2.0,284.0,556.0
3931.0,10.0,4048.0,1054.0,64.0,,270.0,504.0
3835.0,6.0,4131.0,1019.0,56.0,,263.0,517.0
3947.0,9.0,4165.0,849.0,59.0,,278.0,596.0
3358.0,,3619.0,775.0,58.0,,231.0,443.0
4088.0,10.0,4253.0,961.0,76.0,1.0,275.0,553.0
4013.0,4.0,4234.0,1057.0,93.0,,282.0,513.0
3798.0,11.0,4592.0,1157.0,84.0,2.0,302.0,561.0
4009.0,14.0,4415.0,1057.0,76.0,2.0,285.0,564.0
3796.0,5.0,4547.0,896.0,55.0,3.0,278.0,580.0
4258.0,5.0,4762.0,1095.0,58.0,,307.0,697.0
3535.0,8.0,4166.0,1062.0,52.0,1.0,264.0,565.0
3937.0,6.0,4539.0,1044.0,45.0,2.0,289.0,610.0
4240.0,7.0,4628.0,1095.0,72.0,3.0,315.0,555.0
4551.0,3.0,5100.0,1300.0,80.0,,369.0,632.0
4066.0,5.0,4280.0,1075.0,67.0,1.0,259.0,510.0
4402.0,6.0,4421.0,1280.0,76.0,,305.0,625.0
4104.0,4.0,4610.0,1010.0,60.0,1.0,339.0,559.0
4426.0,9.0,4880.0,1165.0,74.0,1.0,374.0,696.0
4199.0,13.0,4535.0,1075.0,71.0,1.0,365.0,686.0
4009.0,11.0,4430.0,1032.0,58.0,1.0,321.0,616.0
3538.0,8.0,4631.0,1107.0,71.0,,350.0,531.0
4363.0,6.0,5217.0,1048.0,58.0,1.0,354.0,648.0
4551.0,9.0,5283.0,1224.0,80.0,,330.0,627.0
4688.0,5.0,5349.0,1219.0,92.0,1.0,379.0,728.0
3978.0,7.0,4369.0,1243.0,67.0,1.0,325.0,619.0
4023.0,13.0,4770.0,1045.0,61.0,1.0,283.0,576.0
4273.0,14.0,4788.0,1095.0,62.0,,353.0,601.0
4091.0,14.0,4649.0,1228.0,64.0,,306.0,579.0
3686.0,9.0,3780.0,917.0,59.0,,248.0,492.0
3738.0,10.0,3973.0,967.0,69.0,1.0,290.0,521.0
4034.0,9.0,4626.0,1014.0,91.0,,289.0,571.0
4157.0,8.0,4380.0,995.0,79.0,2.0,314.0,563.0
3751.0,5.0,4120.0,908.0,46.0,1.0,313.0,492.0
4511.0,7.0,5000.0,1077.0,64.0,3.0,344.0,682.0
3904.0,9.0,5300.0,1001.0,68.0,2.0,347.0,626.0
4237.0,3.0,4546.0,994.0,71.0,2.0,302.0,572.0
3950.0,8.0,4189.0,907.0,56.0,,318.0,549.0
3707.0,9.0,4080.0,879.0,45.0,1.0,288.0,607.0
3966.0,5.0,4146.0,933.0,62.0,3.0,273.0,555.0
3963.0,8.0,4386.0,961.0,68.0,,315.0,544.0
3581.0,3.0,4293.0,868.0,56.0,1.0,289.0,524.0
3472.0,7.0,3560.0,906.0,45.0,2.0,280.0,442.0
3552.0,8.0,3963.0,887.0,64.0,1.0,268.0,502.0
3744.0,8.0,3906.0,810.0,71.0,1.0,292.0,512.0
4240.0,14.0,4111.0,969.0,94.0,1.0,310.0,558.0
3354.0,6.0,3669.0,954.0,44.0,1.0,274.0,475.0
3869.0,9.0,3906.0,921.0,63.0,2.0,317.0,572.0
3989.0,11.0,3984.0,1009.0,66.0,1.0,316.0,600.0
3703.0,6.0,3571.0,933.0,76.0,2.0,256.0,472.0
3135.0,9.0,2981.0,815.0,61.0,2.0,220.0,406.0
3385.0,10.0,3315.0,910.0,53.0,,269.0,472.0
3423.0,6.0,3259.0,1034.0,74.0,1.0,278.0,472.0
3961.0,6.0,3621.0,1010.0,83.0,1.0,295.0,492.0
3742.0,3.0,3678.0,858.0,73.0,2.0,298.0,580.0
3196.0,9.0,3022.0,767.0,54.0,4.0,252.0,435.0
3268.0,5.0,3158.0,781.0,63.0,,291.0,454.0
3813.0,3.0,3664.0,881.0,69.0,1.0,302.0,521.0
3637.0,8.0,3095.0,867.0,82.0,,265.0,454.0
3825.0,7.0,3828.0,977.0,58.0,,275.0,547.0
3703.0,9.0,3416.0,926.0,85.0,2.0,247.0,527.0
3113.0,4.0,2881.0,729.0,59.0,1.0,218.0,426.0
2994.0,7.0,2660.0,671.0,62.0,3.0,241.0,449.0
3099.0,5.0,2611.0,612.0,63.0,2.0,218.0,422.0
3136.0,4.0,2882.0,703.0,83.0,,216.0,425.0
3571.0,11.0,3178.0,848.0,93.0,1.0,274.0,501.0
3712.0,4.0,3135.0,888.0,81.0,1.0,264.0,524.0
3824.0,7.0,3382.0,813.0,90.0,1.0,283.0,549.0
4040.0,6.0,3295.0,874.0,89.0,3.0,276.0,586.0
3831.0,6.0,3232.0,821.0,74.0,1.0,274.0,516.0
3750.0,6.0,3343.0,923.0,86.0,,260.0,508.0
3408.0,8.0,3021.0,742.0,68.0,,288.0,450.0
3095.0,8.0,3109.0,660.0,59.0,1.0,258.0,485.0
3142.0,9.0,2877.0,630.0,82.0,2.0,230.0,442.0
3070.0,6.0,2919.0,661.0,59.0,2.0,213.0,433.0
3358.0,10.0,3084.0,695.0,92.0,1.0,265.0,441.0
2914.0,9.0,2820.0,616.0,67.0,2.0,208.0,389.0
2480.0,4.0,2334.0,461.0,43.0,,180.0,372.0
3380.0,4.0,3335.0,668.0,56.0,1.0,261.0,522.0
2940.0,12.0,2683.0,614.0,69.0,,233.0,439.0
3110.0,6.0,2936.0,661.0,58.0,,225.0,510.0
3294.0,7.0,3176.0,658.0,68.0,1.0,268.0,512.0
2947.0,8.0,2716.0,706.0,63.0,1.0,209.0,431.0
2758.0,7.0,2848.0,635.0,65.0,2.0,206.0,371.0
3156.0,10.0,3089.0,646.0,86.0,,229.0,485.0
3428.0,14.0,3083.0,694.0,95.0,3.0,230.0,480.0
3285.0,5.0,3204.0,656.0,80.0,5.0,208.0,471.0
3126.0,8.0,2793.0,641.0,86.0,3.0,206.0,434.0
3728.0,11.0,3321.0,886.0,91.0,,292.0,567.0
3332.0,9.0,3172.0,714.0,95.0,,247.0,478.0
3522.0,5.0,3190.0,768.0,97.0,1.0,261.0,481.0
3256.0,6.0,3123.0,698.0,87.0,1.0,230.0,461.0
3521.0,11.0,3273.0,805.0,83.0,1.0,267.0,511.0
2977.0,4.0,2786.0,726.0,65.0,2.0,210.0,432.0
3276.0,9.0,3070.0,828.0,72.0,1.0,305.0,550.0
2887.0,13.0,2688.0,703.0,69.0,1.0,245.0,392.0
3439.0,7.0,3052.0,829.0,91.0,,274.0,501.0
3546.0,7.0,3060.0,772.0,105.0,2.0,256.0,482.0
3104.0,11.0,2816.0,571.0,64.0,2.0,258.0,458.0
3444.0,8.0,3058.0,791.0,66.0,2.0,282.0,473.0
3858.0,10.0,3283.0,896.0,112.0,1.0,281.0,529.0
3469.0,10.0,2867.0,718.0,99.0,1.0,237.0,465.0
3140.0,4.0,2709.0,662.0,72.0,1.0,271.0,455.0
3447.0,5.0,3114.0,722.0,84.0,,257.0,507.0
3647.0,7.0,3591.0,723.0,98.0,1.0,279.0,535.0
3390.0,7.0,3190.0,684.0,53.0,2.0,283.0,543.0
2760.0,2.0,2263.0,543.0,62.0,1.0,215.0,424.0
3340.0,3.0,2806.0,634.0,93.0,2.0,219.0,484.0
3350.0,6.0,3089.0,746.0,64.0,,243.0,558.0
2996.0,8.0,2540.0,650.0,69.0,2.0,238.0,409.0
