ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
2051.0,6.0,1823.0,373.0,75.0,1.0,128.0,269.0
2434.0,22.0,1464.0,589.0,146.0,1.0,48.0,93.0
205.0,,443.0,21.0,,,15.0,51.0
136.0,,229.0,23.0,,,9.0,31.0
1913.0,10.0,1108.0,528.0,120.0,2.0,53.0,90.0
538.0,,493.0,103.0,19.0,,33.0,89.0
67.0,,63.0,3.0,,,4.0,6.0
179.0,,355.0,30.0,1.0,,27.0,45.0
53.0,,120.0,15.0,1.0,,6.0,13.0
35.0,,73.0,17.0,,,2.0,8.0
82.0,,63.0,9.0,,,3.0,13.0
154.0,,261.0,20.0,1.0,,11.0,40.0
158.0,1.0,168.0,11.0,1.0,,9.0,33.0
331.0,,385.0,61.0,,,40.0,58.0
38.0,,183.0,15.0,,,9.0,19.0
87.0,,110.0,17.0,,,8.0,25.0
67.0,,201.0,11.0,,,9.0,19.0
45.0,,138.0,5.0,,,,14.0
65.0,,231.0,6.0,,,13.0,25.0
54.0,,104.0,4.0,1.0,,5.0,13.0
231.0,,265.0,29.0,2.0,,12.0,38.0
244.0,,232.0,35.0,,,17.0,43.0
96.0,,169.0,11.0,,,6.0,22.0
43.0,,241.0,11.0,,,17.0,8.0
28.0,,141.0,16.0,,,1.0,13.0
67.0,,147.0,27.0,,,3.0,5.0
52.0,,83.0,15.0,1.0,,2.0,11.0
253.0,,269.0,71.0,4.0,,29.0,32.0
94.0,,208.0,32.0,2.0,,9.0,18.0
247.0,1.0,200.0,35.0,,,23.0,29.0
101.0,,197.0,30.0,1.0,,11.0,26.0
145.0,,289.0,11.0,1.0,,4.0,41.0
89.0,,131.0,21.0,1.0,,3.0,24.0
87.0,,230.0,29.0,,,7.0,34.0
133.0,1.0,82.0,19.0,,,7.0,10.0
19.0,,63.0,3.0,,,,6.0
45.0,,136.0,24.0,1.0,,6.0,10.0
63.0,,73.0,11.0,,,1.0,12.0
37.0,1.0,230.0,5.0,,,3.0,36.0
125.0,,173.0,24.0,3.0,,5.0,26.0
53.0,,219.0,17.0,,,3.0,30.0
29.0,,70.0,5.0,,,2.0,13.0
137.0,,143.0,30.0,1.0,,7.0,12.0
10.0,,43.0,2.0,,3.0,2.0,6.0
